flight	date	nfails.field	nfails.nozzle	fail.field	fail.nozzle	temp	pres.field	pres.nozzle
1	12/04/81	0	0	0	0	66	50	50
2	12/11/81	1	0	1	0	70	50	50
3	22/03/82	0	0	0	0	69	50	50
5	11/11/82	0	0	0	0	68	50	50
6	04/04/83	0	2	0	1	67	50	50
7	18/06/83	0	0	0	0	72	50	50
8	30/08/83	0	0	0	0	73	100	50
9	28/11/83	0	0	0	0	70	100	100
41-B	03/02/84	1	1	1	1	57	100	100
41-C	06/04/84	1	1	1	1	63	200	200
41-D	30/08/84	1	1	1	1	70	200	200
41-G	05/10/84	0	0	0	0	78	200	200
51-A	08/11/84	0	0	0	0	67	200	200
51-C	24/01/85	2	2	1	1	53	200	200
51-D	12/04/85	0	2	0	1	67	200	200
51-B	29/04/85	0	2	0	1	75	200	100
51-G	17/06/85	0	2	0	1	70	200	200
51-F	29/07/85	0	0	0	0	81	200	200
51-I	27/08/85	0	0	0	0	76	200	200
51-J	03/10/85	0	0	0	0	79	200	200
61-A	30/10/85	2	0	1	0	75	200	200
61-B	26/11/85	0	2	0	1	76	200	200
61-C	12/01/86	1	2	1	1	58	200	200
